MCNo,Event Number,Rating (0-3),E1 (GeV),px1 (GeV/c),py1 (GeV/c),pz1 (GeV/c),E2 (GeV),px2 (GeV/c),py2 (GeV/c),pz2 (GeV/c)
115,1021824972,2,16.9257,-1.90021,3.10798,16.5287,3.27057,-1.25598,0.232297,3.00899
116,1021893743,2,17.6048,-2.5,-5.18324,16.6373,3.70926,0.501051,-0.706561,3.60516
117,1021910575,2,11.506,0.744778,2.59318,11.1847,6.36354,-1.29889,0.685712,6.19081
118,1021932351,2,8.00679,1.19877,-1.22518,-7.82045,4.045,-0.594969,0.985648,-3.87625
119,1021941232,0,11.8156,0.00901231,-2.01829,11.6415,9.05235,0.221437,1.55038,8.91522
120,1021954492,0,9.53916,1.01763,-1.49474,-9.3656,3.5874,0.498233,1.10695,-3.37413
121,1021963186,0,8.79856,1.00956,1.6134,8.5896,5.33398,-1.25138,1.97767,4.79197
122,1022001234,2,16.4175,-2.69131,-2.9936,-15.916,3.37306,0.532165,-1.04478,-3.16095
123,1022055626,2,7.76751,0.650178,-2.80161,7.21466,2.83304,-1.15153,-0.380352,2.55818
124,1022103693,2,12.8626,3.31174,-1.54073,-12.3327,5.69005,0.529855,1.22214,-5.53092
125,1022103855,0,9.98077,1.3466,-1.27124,9.8069,4.56631,-0.910926,0.652377,4.42546
126,1022113742,2,12.5667,1.30519,3.46228,12.0092,4.66932,1.66454,0.361364,4.34627
127,1022126568,2,8.03537,-2.0451,0.760787,-7.73271,3.66274,-0.551188,-1.13711,-3.43623
128,1022128302,2,8.76083,1.78952,1.58271,-8.42815,9.18902,0.204272,-1.94502,-8.97787
129,1022165574,2,10.5556,1.29623,1.88791,10.3036,5.18335,-1.26371,-0.353679,5.01337
130,1022170166,2,10.1511,0.00185625,2.372,-9.86956,4.59085,0.640806,-1.04554,-4.42278
131,1022188512,2,10.0855,-1.73523,3.47668,-9.30633,5.51999,-1.26991,-0.287379,-5.3632
132,1022205769,1,4.62498,-0.492564,0.918828,4.50471,5.49272,0.695827,-0.864361,5.37844
133,1022208805,0,6.64743,-0.837477,-1.39236,6.44493,4.52096,-0.380773,0.929411,4.40671
134,1022234534,2,11.1504,1.81965,3.80504,-10.3214,3.16545,0.940158,-0.14196,-3.01743
135,1022244336,0,10.2761,2.09812,-0.514648,10.0459,5.52543,-1.42765,-0.313263,5.32756
136,1022268243,0,8.16986,1.94691,-3.18434,-7.2667,4.29759,-0.84864,-0.933199,-4.10695
137,1022274967,0,9.78926,-1.39161,-1.73812,-9.53209,5.69153,-0.468329,1.35676,-5.50656
138,1022365668,2,13.3312,1.65796,2.93436,12.8977,5.40967,1.44757,-0.164769,5.20872
139,1022375118,2,11.6248,-0.391584,3.09938,11.1967,3.79162,-0.96258,0.0536143,3.66549
140,1022446807,0,8.14535,1.46849,2.49853,-7.6116,4.58778,0.741462,-0.482931,-4.5004
141,1022454798,1,6.24848,-1.12904,1.42001,-5.9784,7.25115,2.63714,-0.1994,-6.75083
142,1022506921,2,6.69484,-1.58566,-0.287508,-6.49713,11.236,-0.886994,-2.51591,-10.9142
143,1022539438,2,6.72338,-2.38574,-1.22977,6.16349,4.82185,1.09597,1.04794,4.57599
144,1022542773,2,14.251,-1.31035,-2.90169,-13.8904,4.50249,-2.32339,0.811932,-3.7688
145,1022579382,1,8.34289,-2.06845,0.0516978,-8.08156,2.93781,0.125512,1.24448,-2.65615
146,1022585847,0,10.6055,0.140602,-2.9545,10.1841,5.01167,0.135567,1.62292,4.73851
147,1022597898,2,7.28679,-2.4602,3.97678,-5.58738,9.6962,-1.14536,1.27661,-9.54273
148,1022660760,1,8.51118,-1.40361,-1.28648,-8.29481,3.72456,1.00117,-1.68211,-3.16691
149,1022706704,0,8.80192,1.05796,-2.14211,-8.47081,4.23728,-0.732764,0.39748,-4.15313
150,1022794877,3,12.078,0.596303,3.13338,-11.6487,7.08636,-0.714163,3.6599,-6.02498
151,1022818153,1,5.06047,0.265849,-3.65152,3.49184,4.2147,-0.336621,-0.959245,4.08889
152,1022990656,0,13.3789,2.19675,-3.12043,-12.8227,6.07685,-1.15641,0.970782,-5.88534
153,1022993020,2,7.12832,-0.392783,-4.21815,-5.73189,5.95201,-1.42064,-1.73575,-5.51219
154,1023048195,0,10.7293,-1.77572,3.14975,10.1011,6.00903,-0.502152,-1.0318,5.8975
155,1023099596,2,9.76532,-1.79238,0.641642,9.57737,3.07961,0.432353,1.4527,2.67873
156,1023105057,2,10.3191,0.329712,2.69029,9.95621,4.39316,1.56322,0.342591,4.08995
157,1023114512,2,10.5047,-0.0587186,-2.54106,10.192,3.27872,-1.66714,-0.120723,2.81867
158,1023132865,0,10.607,1.21611,-2.22445,-10.299,4.35677,1.90111,-1.44217,-3.64365
159,1023143411,1,7.75928,-0.70958,-1.49334,-7.58035,6.69231,1.59087,-0.142864,-6.49804
160,1023166254,0,8.4557,-2.56222,-2.37359,7.69992,2.84701,-0.737548,0.55975,2.69017
